trial_nr	onset	event_type	phase	response	nr_frames	bar_width	bar_refresh_time	bar_direction	start_time	bar_blank_duration	bar_blank_interval	bg_stim_refresh_time	onset_abs	duration
0	0.1834409236907959	stim	0		0								90.38623285293579	27.512152910232544
0	27.687477827072144	response	0	space									117.89026975631714	
1	27.69559383392334	stim	0		0								117.89838576316833	41.4685161113739
1	69.13455986976624	pulse	0	t									159.33735179901123	
1	69.16410994529724	stim	1		0								159.36690187454224	0.0009059906005859375
1	69.16501593589783	stim	0		0								159.36780786514282	23.998744010925293
1	70.72897291183472	pulse	0	t									160.9317648410797	
1	72.3292989730835	pulse	0	t									162.5320909023285	
1	73.92953896522522	pulse	0	t									164.13233089447021	
1	75.5296778678894	pulse	0	t									165.7324697971344	
1	77.12989282608032	pulse	0	t									167.33268475532532	
1	78.72829484939575	pulse	0	t									168.93108677864075	
1	79.57849788665771	response	0	b									169.7812898159027	
1	80.3285129070282	pulse	0	t									170.5313048362732	
1	81.92881894111633	pulse	0	t									172.13161087036133	
1	83.52905797958374	pulse	0	t									173.73184990882874	
1	84.46256899833679	response	0	b									174.6653609275818	
1	85.1293728351593	pulse	0	t									175.3321647644043	
1	86.72954297065735	pulse	0	t									176.93233489990234	
1	87.59826683998108	response	0	b									177.80105876922607	
1	88.32977795600891	pulse	0	t									178.5325698852539	
1	89.93007493019104	pulse	0	t									180.13286685943604	
1	90.35510182380676	response	0	b									180.55789375305176	
1	91.53036689758301	pulse	0	t									181.733158826828	
1	93.13054084777832	pulse	0	t									183.33333277702332	
2	93.16375994682312	stim	0		0	0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	183.36655187606812	23.99533200263977
2	93.91352796554565	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	184.11631989479065	
2	94.72848200798035	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	184.93127393722534	
2	96.32847094535828	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	186.53126287460327	
2	96.43104696273804	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	186.63383889198303	
2	97.92852687835693	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	188.13131880760193	
2	99.01351189613342	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	189.21630382537842	
2	99.52846384048462	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	189.73125576972961	
2	101.12846088409424	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	191.33125281333923	
2	102.7285668849945	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	192.9313588142395	
2	104.32850193977356	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	194.53129386901855	
2	104.83251881599426	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	195.03531074523926	
2	105.92850279808044	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	196.13129472732544	
2	107.52862286567688	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	197.73141479492188	
2	109.12865090370178	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	199.33144283294678	
2	110.7286388874054	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	200.9314308166504	
2	112.32855296134949	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	202.53134489059448	
2	113.92862796783447	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	204.13141989707947	
2	115.52861785888672	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	205.7314097881317	
2	116.90060997009277	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	207.10340189933777	
2	117.1285719871521	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	207.3313639163971	
3	117.15909194946289	stim	0		0	0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	207.36188387870789	24.01185703277588
3	118.72870898246765	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	208.93150091171265	
3	118.96564292907715	response	0	b		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	209.16843485832214	
3	120.32874894142151	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	210.5315408706665	
3	121.9287519454956	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	212.1315438747406	
3	123.5287618637085	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	213.7315537929535	
3	125.12879490852356	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	215.33158683776855	
3	125.8607108592987	response	0	b		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	216.0635027885437	
3	126.72874879837036	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	216.93154072761536	
3	128.32880783081055	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	218.53159976005554	
3	128.37460780143738	response	0	b		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	218.57739973068237	
3	129.92884278297424	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	220.13163471221924	
3	130.54379391670227	response	0	b		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	220.74658584594727	
3	131.52881693840027	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	221.73160886764526	
3	132.82448196411133	response	0	b		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	223.02727389335632	
3	133.12875699996948	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	223.33154892921448	
3	134.7288579940796	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	224.93164992332458	
3	135.9509618282318	response	0	b		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	226.1537537574768	
3	136.32886481285095	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	226.53165674209595	
3	137.9289128780365	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	228.1317048072815	
3	138.7419228553772	response	0	b		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	228.9447147846222	
3	139.5289318561554	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	229.7317237854004	
3	141.00690579414368	response	0	b		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	231.20969772338867	
3	141.12889790534973	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	231.33168983459473	
4	141.17094898223877	stim	0		0	-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	231.37374091148376	15.99410080909729
4	142.7295548915863	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	232.9323468208313	
4	144.32993078231812	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	234.5327227115631	
4	145.93014478683472	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	236.1329367160797	
4	147.53042793273926	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	237.73321986198425	
4	147.58040380477905	response	0	b		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	237.78319573402405	
4	149.1304898262024	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	239.3332817554474	
4	150.73098182678223	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	240.93377375602722	
4	152.33109498023987	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	242.53388690948486	
4	152.61444878578186	response	0	b		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	242.81724071502686	
4	153.93128180503845	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	244.13407373428345	
4	155.5315067768097	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	245.7342987060547	
4	155.58141994476318	response	0	b		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	245.78421187400818	
4	157.13165593147278	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	247.33444786071777	
5	157.16504979133606	stim	0		0	0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	247.36784172058105	24.003504991531372
5	157.72018194198608	response	0	b		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	247.92297387123108	
5	158.72816395759583	pulse	0	t		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	248.93095588684082	
5	160.32819294929504	pulse	0	t		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	250.53098487854004	
5	160.79023694992065	response	0	b		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	250.99302887916565	
5	161.92828392982483	pulse	0	t		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	252.13107585906982	
5	163.52820777893066	pulse	0	t		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	253.73099970817566	
5	165.1282467842102	pulse	0	t		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	255.3310387134552	
5	165.49118900299072	response	0	b		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	255.69398093223572	
5	166.72828483581543	pulse	0	t		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	256.9310767650604	
5	168.32826399803162	pulse	0	t		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	258.5310559272766	
5	168.8853747844696	response	0	b		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	259.0881667137146	
5	169.9284689426422	pulse	0	t		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	260.1312608718872	
5	171.46641278266907	response	0	b		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	261.66920471191406	
5	171.52829885482788	pulse	0	t		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	261.7310907840729	
