trial_nr	onset	event_type	phase	response	nr_frames	bar_width	bar_refresh_time	bar_direction	start_time	bar_blank_duration	bar_blank_interval	bg_stim_refresh_time	onset_abs	duration
0	0.18330717086791992	stim	0		0								11.983652353286743	0.766603946685791
0	0.9419171810150146	response	0	space									12.742262363433838	
1	0.9499111175537109	stim	0		0								12.750256299972534	38.117696046829224
1	39.0376181602478	pulse	0	t									50.837963342666626	
1	39.067607164382935	stim	1		0								50.86795234680176	0.0008080005645751953
1	39.06841516494751	stim	0		0								50.86876034736633	23.999146938323975
1	40.63292598724365	pulse	0	t									52.433271169662476	
1	42.23313117027283	pulse	0	t									54.03347635269165	
1	43.83340120315552	pulse	0	t									55.63374638557434	
1	44.98996019363403	response	0	b									56.790305376052856	
1	45.43361210823059	pulse	0	t									57.233957290649414	
1	47.03371810913086	pulse	0	t									58.83406329154968	
1	48.21544313430786	response	0	b									60.015788316726685	
1	48.634106159210205	pulse	0	t									60.43445134162903	
1	50.23419117927551	pulse	0	t									62.034536361694336	
1	51.70951318740845	response	0	b									63.50985836982727	
1	51.83269119262695	pulse	0	t									63.633036375045776	
1	53.43289303779602	pulse	0	t									65.23323822021484	
1	54.02654504776001	response	0	b									65.82689023017883	
1	55.03312802314758	pulse	0	t									66.8334732055664	
1	56.49178409576416	response	0	b									68.29212927818298	
1	56.633437156677246	pulse	0	t									68.43378233909607	
1	58.23365521430969	pulse	0	t									70.03400039672852	
1	59.83383011817932	pulse	0	t									71.63417530059814	
1	60.82566809654236	response	0	b									72.62601327896118	
1	61.43417501449585	pulse	0	t									73.23452019691467	
1	62.81949019432068	response	0	b									74.6198353767395	
1	63.03439998626709	pulse	0	t									74.83474516868591	
2	63.067562103271484	stim	0		0	0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	74.86790728569031	24.0035719871521
2	64.6326789855957	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	76.43302416801453	
2	66.23266410827637	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	78.03300929069519	
2	67.83271408081055	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	79.63305926322937	
2	69.43272304534912	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	81.23306822776794	
2	70.72374415397644	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	82.52408933639526	
