trial_nr	onset	event_type	phase	response	nr_frames	bar_width	bar_refresh_time	bar_direction	start_time	bar_blank_duration	bar_blank_interval	bg_stim_refresh_time	onset_abs	duration
0	0.0178414165857248	stim	0		0								8.100312583264895	2.551846041693352
0	2.5451057499740273	response	0	space									10.627576916653197	
1	2.569687458279077	stim	0		0								10.652158624958247	3.4339160000090487
1	5.973669416620396	pulse	0	t									14.056140583299566	
1	6.003603458288126	stim	1		0								14.086074624967296	4.0006322917179205
2	10.004235750006046	stim	0		0	-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	18.086706916685216	16.00016674998915
2	25.191590166592505	response	0	j		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	33.274061333271675	
3	26.004402499995194	stim	0		0	0.16666667	0.0666666666667	225.0	20.0	0.0333333333333	0.1333333333333	0.0666666666667	34.086873666674364	23.998536083323415
3	26.029700041632168	response	0	b		0.16666667	0.0666666666667	225.0	20.0	0.0333333333333	0.1333333333333	0.0666666666667	34.11217120831134	
3	28.703265916614328	response	0	j		0.16666667	0.0666666666667	225.0	20.0	0.0333333333333	0.1333333333333	0.0666666666667	36.7857370832935	
3	32.797909458284266	response	0	b		0.16666667	0.0666666666667	225.0	20.0	0.0333333333333	0.1333333333333	0.0666666666667	40.880380624963436	
3	44.267981499957386	response	0	j		0.16666667	0.0666666666667	225.0	20.0	0.0333333333333	0.1333333333333	0.0666666666667	52.350452666636556	
3	46.399150499957614	response	0	b		0.16666667	0.0666666666667	225.0	20.0	0.0333333333333	0.1333333333333	0.0666666666667	54.481621666636784	
4	50.00293858331861	stim	0		0	0.16666667	0.0666666666667	315.0	44.0	0.0333333333333	0.1333333333333	0.0666666666667	58.08540974999778	23.99991083331406
4	52.28851687500719	response	0	j		0.16666667	0.0666666666667	315.0	44.0	0.0333333333333	0.1333333333333	0.0666666666667	60.37098804168636	
4	58.64067974995123	response	0	b		0.16666667	0.0666666666667	315.0	44.0	0.0333333333333	0.1333333333333	0.0666666666667	66.7231509166304	
4	62.390697041584644	response	0	j		0.16666667	0.0666666666667	315.0	44.0	0.0333333333333	0.1333333333333	0.0666666666667	70.47316820826381	
4	67.77890391659457	response	0	b		0.16666667	0.0666666666667	315.0	44.0	0.0333333333333	0.1333333333333	0.0666666666667	75.86137508327374	
5	74.00284941663267	stim	0		0	-1.0	1.0	-1.0	68.0	0.0333333333333	0.1333333333333	0.0666666666667	82.08532058331184	16.001552041678224
5	76.20482087496202	response	0	j		-1.0	1.0	-1.0	68.0	0.0333333333333	0.1333333333333	0.0666666666667	84.2872920416412	
5	81.30851516663097	response	0	b		-1.0	1.0	-1.0	68.0	0.0333333333333	0.1333333333333	0.0666666666667	89.39098633331014	
5	89.7388926249696	response	0	j		-1.0	1.0	-1.0	68.0	0.0333333333333	0.1333333333333	0.0666666666667	97.82136379164876	
6	90.0044014583109	stim	0		0	0.16666667	0.0666666666667	45.0	84.0	0.0333333333333	0.1333333333333	0.0666666666667	98.08687262499006	23.99866074998863
6	94.76636670826701	response	0	b		0.16666667	0.0666666666667	45.0	84.0	0.0333333333333	0.1333333333333	0.0666666666667	102.84883787494618	
6	102.77485466661165	response	0	b		0.16666667	0.0666666666667	45.0	84.0	0.0333333333333	0.1333333333333	0.0666666666667	110.85732583329082	
6	105.87090954161249	response	0	j		0.16666667	0.0666666666667	45.0	84.0	0.0333333333333	0.1333333333333	0.0666666666667	113.95338070829166	
6	108.31574870826444	response	0	b		0.16666667	0.0666666666667	45.0	84.0	0.0333333333333	0.1333333333333	0.0666666666667	116.3982198749436	
6	113.67312791658333	response	0	b		0.16666667	0.0666666666667	45.0	84.0	0.0333333333333	0.1333333333333	0.0666666666667	121.7555990832625	
7	114.00306220829953	stim	0		0	0.16666667	0.0666666666667	135.0	108.0	0.0333333333333	0.1333333333333	0.0666666666667	122.0855333749787	23.999757083307486
7	119.45156370830955	response	0	j		0.16666667	0.0666666666667	135.0	108.0	0.0333333333333	0.1333333333333	0.0666666666667	127.53403487498872	
7	123.22249679162633	response	0	b		0.16666667	0.0666666666667	135.0	108.0	0.0333333333333	0.1333333333333	0.0666666666667	131.3049679583055	
7	129.15281504159793	response	0	j		0.16666667	0.0666666666667	135.0	108.0	0.0333333333333	0.1333333333333	0.0666666666667	137.2352862082771	
7	131.420390416577	response	0	b		0.16666667	0.0666666666667	135.0	108.0	0.0333333333333	0.1333333333333	0.0666666666667	139.50286158325616	
7	136.69816783326678	response	0	j		0.16666667	0.0666666666667	135.0	108.0	0.0333333333333	0.1333333333333	0.0666666666667	144.78063899994595	
8	138.002819291607	stim	0		0	-1.0	1.0	-1.0	132.0	0.0333333333333	0.1333333333333	0.0666666666667	146.08529045828618	16.000586916692555
8	141.17426554160193	response	0	b		-1.0	1.0	-1.0	132.0	0.0333333333333	0.1333333333333	0.0666666666667	149.2567367082811	
8	144.3717022499768	response	0	b		-1.0	1.0	-1.0	132.0	0.0333333333333	0.1333333333333	0.0666666666667	152.45417341665598	
8	144.791403708281	response	0	j		-1.0	1.0	-1.0	132.0	0.0333333333333	0.1333333333333	0.0666666666667	152.87387487496017	
8	148.20670624997	response	0	b		-1.0	1.0	-1.0	132.0	0.0333333333333	0.1333333333333	0.0666666666667	156.28917741664918	
8	151.00909916660748	response	0	j		-1.0	1.0	-1.0	132.0	0.0333333333333	0.1333333333333	0.0666666666667	159.09157033328665	
8	153.48829254158773	response	0	b		-1.0	1.0	-1.0	132.0	0.0333333333333	0.1333333333333	0.0666666666667	161.5707637082669	
9	154.00340620829957	stim	0		0	-1.0	1.0	-1.0	148.0	0.0333333333333	0.1333333333333	0.0666666666667	162.08587737497874	16.001716583326925
9	159.1081434583175	response	0	j		-1.0	1.0	-1.0	148.0	0.0333333333333	0.1333333333333	0.0666666666667	167.19061462499667	
9	164.45435179158812	response	0	b		-1.0	1.0	-1.0	148.0	0.0333333333333	0.1333333333333	0.0666666666667	172.5368229582673	
9	166.94281116657658	response	0	j		-1.0	1.0	-1.0	148.0	0.0333333333333	0.1333333333333	0.0666666666667	175.02528233325575	
9	169.3263048332883	response	0	b		-1.0	1.0	-1.0	148.0	0.0333333333333	0.1333333333333	0.0666666666667	177.40877599996747	
10	170.0051227916265	stim	0		0	0.16666667	0.0666666666667	135.0	164.0	0.0333333333333	0.1333333333333	0.0666666666667	178.08759395830566	23.99763737496687
10	172.64949341659667	response	0	j		0.16666667	0.0666666666667	135.0	164.0	0.0333333333333	0.1333333333333	0.0666666666667	180.73196458327584	
10	176.46942766662687	response	0	b		0.16666667	0.0666666666667	135.0	164.0	0.0333333333333	0.1333333333333	0.0666666666667	184.55189883330604	
