trial_nr	onset	event_type	phase	response	nr_frames	bar_width	bar_refresh_time	bar_direction	start_time	bar_blank_duration	bar_blank_interval	bg_stim_refresh_time	onset_abs	duration
0	0.1578540802001953	stim	0		0								39.54917097091675	3.0753769874572754
0	3.225188970565796	response	0	space									42.61650586128235	
1	3.2332310676574707	stim	0		0								42.62454795837402	38.49934792518616
1	41.719446897506714	pulse	0	t									81.11076378822327	
1	41.73257899284363	stim	1		0								81.12389588356018	0.0007278919219970703
1	41.733306884765625	stim	0		0								81.12462377548218	23.999802112579346
1	43.31657791137695	pulse	0	t									82.7078948020935	
1	44.91656708717346	pulse	0	t									84.30788397789001	
1	45.49144697189331	response	0	e									84.88276386260986	
1	46.5164840221405	pulse	0	t									85.90780091285706	
1	48.11661696434021	pulse	0	t									87.50793385505676	
1	49.71647310256958	pulse	0	t									89.10778999328613	
1	51.31650996208191	pulse	0	t									90.70782685279846	
1	52.91646099090576	pulse	0	t									92.30777788162231	
1	53.44330811500549	response	0	e									92.83462500572205	
1	54.51648807525635	pulse	0	t									93.9078049659729	
1	56.116446018218994	pulse	0	t									95.50776290893555	
1	57.71654009819031	pulse	0	t									97.10785698890686	
1	59.31641697883606	pulse	0	t									98.70773386955261	
1	60.91660690307617	pulse	0	t									100.30792379379272	
1	62.51639699935913	pulse	0	t									101.90771389007568	
1	63.768316984176636	response	0	e									103.15963387489319	
1	64.11641693115234	pulse	0	t									103.5077338218689	
1	65.71634602546692	pulse	0	t									105.10766291618347	
2	65.73310899734497	stim	0		0	0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	105.12442588806152	23.999701976776123
2	67.31422591209412	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	106.70554280281067	
2	68.91416192054749	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	108.30547881126404	
2	69.96702599525452	response	0	e		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	109.35834288597107	
2	70.51399302482605	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	109.9053099155426	
2	72.11391305923462	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	111.50522994995117	
2	73.71381688117981	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	113.10513377189636	
2	75.31370306015015	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	114.7050199508667	
2	75.94161796569824	response	0	e		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	115.3329348564148	
2	76.91365003585815	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	116.3049669265747	
2	78.51354789733887	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	117.90486478805542	
2	80.05422496795654	response	0	e		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	119.4455418586731	
2	80.11310505867004	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	119.5044219493866	
2	81.71320104598999	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	121.10451793670654	
2	83.31414103507996	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	122.70545792579651	
2	84.91404294967651	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	124.30535984039307	
2	85.48802709579468	response	0	e		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	124.87934398651123	
2	86.51400208473206	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	125.90531897544861	
2	88.11389398574829	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	127.50521087646484	
2	89.71375107765198	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	129.10506796836853	
3	89.7328109741211	stim	0		0	0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	129.12412786483765	24.008196115493774
3	89.83672404289246	response	0	e		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	129.228040933609	
3	91.31362795829773	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	130.70494484901428	
