trial_nr	onset	event_type	phase	response	nr_frames	bar_width	bar_refresh_time	bar_direction	start_time	bar_blank_duration	bar_blank_interval	bg_stim_refresh_time	onset_abs	duration
0	0.1583249568939209	stim	0		0								10.10487985610962	0.1333169937133789
0	0.27758193016052246	response	0	space									10.22413682937622	
1	0.2916419506072998	stim	0		0								10.238196849822998	38.026127099990845
1	38.28766202926636	pulse	0	t									48.234216928482056	
1	38.317769050598145	stim	1		0								48.26432394981384	0.0008208751678466797
1	38.31858992576599	stim	0		0								48.26514482498169	23.99898910522461
1	39.88286590576172	pulse	0	t									49.82942080497742	
1	41.483070850372314	pulse	0	t									51.42962574958801	
1	43.08324885368347	pulse	0	t									53.02980375289917	
1	44.68361496925354	pulse	0	t									54.63016986846924	
1	46.28381586074829	pulse	0	t									56.23037075996399	
1	47.88395690917969	pulse	0	t									57.830511808395386	
1	48.11551284790039	response	0	b									58.06206774711609	
1	49.48421001434326	pulse	0	t									59.43076491355896	
1	51.082602977752686	pulse	0	t									61.029157876968384	
1	51.35777282714844	response	0	b									61.304327726364136	
1	52.68294095993042	pulse	0	t									62.62949585914612	
1	54.28322696685791	pulse	0	t									64.22978186607361	
1	54.660001039505005	response	0	b									64.6065559387207	
1	55.88337588310242	pulse	0	t									65.82993078231812	
1	57.19196891784668	response	0	b									67.13852381706238	
1	57.483566999435425	pulse	0	t									67.43012189865112	
1	59.08384394645691	pulse	0	t									69.03039884567261	
1	60.68407988548279	pulse	0	t									70.63063478469849	
1	62.18434405326843	response	0	b									72.13089895248413	
1	62.28436803817749	pulse	0	t									72.23092293739319	
2	62.3175790309906	stim	0		0	0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	72.2641339302063	23.995275020599365
2	63.88270592689514	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	73.82926082611084	
2	65.48274302482605	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	75.42929792404175	
2	67.04562997817993	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	76.99218487739563	
2	67.08260703086853	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	77.02916193008423	
2	68.68280506134033	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	78.62935996055603	
2	70.28270292282104	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	80.22925782203674	
2	71.88281488418579	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	81.82936978340149	
2	72.39774584770203	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	82.34430074691772	
2	73.4827778339386	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	83.4293327331543	
2	75.08282089233398	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	85.02937579154968	
2	76.68283891677856	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	86.62939381599426	
2	76.8276948928833	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	86.774249792099	
2	78.28287601470947	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	88.22943091392517	
2	79.88285183906555	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	89.82940673828125	
2	81.48292684555054	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	91.42948174476624	
2	83.082937002182	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	93.0294919013977	
2	84.50393795967102	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	94.45049285888672	
2	84.6828339099884	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	94.6293888092041	
2	86.28297400474548	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	96.22952890396118	
3	86.31285405158997	stim	0		0	0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	96.25940895080566	24.011897802352905
3	87.88298392295837	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	97.82953882217407	
3	88.24789786338806	response	0	b		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	98.19445276260376	
3	89.48295903205872	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	99.42951393127441	
3	90.50297784805298	response	0	b		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	100.44953274726868	
3	91.0829689502716	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	101.0295238494873	
3	92.68304586410522	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	102.62960076332092	
