trial_nr	onset	event_type	phase	response	nr_frames	bar_width	bar_refresh_time	bar_direction	start_time	bar_blank_duration	bar_blank_interval	bg_stim_refresh_time	onset_abs	duration
0	0.15847301483154297	stim	0		0								32.420804023742676	1.9833950996398926
0	2.1339120864868164	response	0	space									34.39624309539795	
1	2.1418681144714355	stim	0		0								34.40419912338257	36.36544489860535
1	38.48752212524414	pulse	0	t									70.74985313415527	
1	38.50731301307678	stim	1		0								70.76964402198792	0.0007481575012207031
1	38.508061170578	stim	0		0								70.77039217948914	24.001182794570923
1	40.081024169921875	pulse	0	t									72.34335517883301	
1	41.68124508857727	pulse	0	t									73.9435760974884	
1	43.28167915344238	pulse	0	t									75.54401016235352	
1	44.88188409805298	pulse	0	t									77.14421510696411	
1	46.48198413848877	pulse	0	t									78.7443151473999	
1	48.08222317695618	pulse	0	t									80.34455418586731	
1	49.68244695663452	pulse	0	t									81.94477796554565	
1	51.282737016677856	pulse	0	t									83.54506802558899	
1	52.88288712501526	pulse	0	t									85.14521813392639	
1	54.48320198059082	pulse	0	t									86.74553298950195	
1	56.08338499069214	pulse	0	t									88.34571599960327	
1	57.67718005180359	pulse	0	t									89.93951106071472	
1	59.2773060798645	pulse	0	t									91.53963708877563	
1	59.517346143722534	response	0	y									91.77967715263367	
1	60.87761902809143	pulse	0	t									93.13995003700256	
1	62.47774600982666	pulse	0	t									94.7400770187378	
2	62.509243965148926	stim	0		0	0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	94.77157497406006	23.995304107666016
2	62.542251110076904	response	0	y		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	94.80458211898804	
2	64.07739210128784	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	96.33972311019897	
2	65.67739009857178	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	97.93972110748291	
2	67.27736711502075	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	99.53969812393188	
2	67.28113794326782	response	0	y		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	99.54346895217896	
2	68.87730407714844	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	101.13963508605957	
2	69.91235303878784	response	0	y		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	102.17468404769897	
2	70.47735500335693	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	102.73968601226807	
